ticker,security_name,template_id,routing_reason,status,gate_stage,scores_should_be_null,confidence_should_be_null
AAPL,Apple,general_operating_company,non_financial_operating_company,analyzed,all_passed,false,false
COST,Costco,general_operating_company,non_financial_operating_company,analyzed,all_passed,false,false
PEP,PepsiCo,general_operating_company,non_financial_operating_company,analyzed,all_passed,false,false
CAT,Caterpillar,cyclical_company,cyclical_revenue_profile,analyzed,all_passed,false,false
NUE,Nucor,cyclical_company,cyclical_revenue_profile,analyzed,all_passed,false,false
DAL,Delta Air Lines,cyclical_company,cyclical_revenue_profile,analyzed,all_passed,false,false
XOM,Exxon Mobil,commodity_energy_producer,upstream_commodity_energy_producer,analyzed,all_passed,false,false
CVX,Chevron,commodity_energy_producer,upstream_commodity_energy_producer,analyzed,all_passed,false,false
EOG,EOG Resources,commodity_energy_producer,upstream_commodity_energy_producer,analyzed,all_passed,false,false
MSFT,Microsoft,software_saas,recurring_revenue_software,analyzed,all_passed,false,false
CRM,Salesforce,software_saas,recurring_revenue_software,analyzed,all_passed,false,false
NOW,ServiceNow,software_saas,recurring_revenue_software,analyzed,all_passed,false,false
META,Meta Platforms,digital_platform_marketplace,digital_platform_marketplace,analyzed,all_passed,false,false
UBER,Uber,digital_platform_marketplace,digital_platform_marketplace,analyzed,all_passed,false,false
ABNB,Airbnb,digital_platform_marketplace,digital_platform_marketplace,analyzed,all_passed,false,false
DUK,Duke Energy,regulated_utility_infrastructure,regulated_utility_infrastructure,analyzed,all_passed,false,false
NEE,NextEra Energy,regulated_utility_infrastructure,regulated_utility_infrastructure,analyzed,all_passed,false,false
015760.KS,한국전력,regulated_utility_infrastructure,regulated_utility_infrastructure,analyzed,all_passed,false,false
JPM,JPMorgan Chase,bank,material_financial_group; dominant_regulated_business_bank,analyzed,all_passed,false,false
BAC,Bank of America,bank,material_financial_group; dominant_regulated_business_bank,analyzed,all_passed,false,false
105560.KS,KB금융,bank,material_financial_group; dominant_regulated_business_bank,analyzed,all_passed,false,false
PGR,Progressive,insurance,insurance_underwriting_balance_sheet,analyzed,all_passed,false,false
CB,Chubb,insurance,insurance_underwriting_balance_sheet,analyzed,all_passed,false,false
000810.KS,삼성화재,insurance,insurance_underwriting_balance_sheet,analyzed,all_passed,false,false
GS,Goldman Sachs,brokerage_asset_manager,balance_sheet_intensive_brokerage,analyzed,all_passed,false,false
SCHW,Charles Schwab,brokerage_asset_manager,mixed_brokerage_asset_manager,analyzed,all_passed,false,false
006800.KS,미래에셋증권,brokerage_asset_manager,balance_sheet_intensive_brokerage,analyzed,all_passed,false,false
O,Realty Income,reit_income_asset,reit_legal_form,analyzed,all_passed,false,false
PLD,Prologis,reit_income_asset,reit_legal_form,analyzed,all_passed,false,false
SPG,Simon Property Group,reit_income_asset,reit_legal_form,analyzed,all_passed,false,false
034730.KS,SK,holding_company,non_financial_holding_company,analyzed,all_passed,false,false
9984.T,SoftBank Group,holding_company,non_financial_holding_company,analyzed,all_passed,false,false
402340.KS,SK스퀘어,holding_company,non_financial_holding_company,analyzed,all_passed,false,false
SANA,Sana Biotechnology,special_case_excluded_preprofit_biotech_eventdriven,preprofit_event_driven_biotech,special_case_excluded,universal_exclusion,true,true
SPY,SPDR S&P 500 ETF Trust,unsupported_non_corporate_asset,non_corporate_asset,unsupported_asset,unsupported_scope,true,true
